Web ID,Region,Reported Date,Reported Year,Month Number,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,URL,UNSD Geographical Grouping,Source Quality
44648,Mediterranean,3-Mar-18,2018,,Mar,,21,21,30,4,17,,Presumed drowning,53 nautical miles off the coast of Libya,"SOS Méditerranée, IOM Italy","33.442744459548, 12.570127875000",Central Mediterranean,"http://bit.ly/2H4VLgy, http://bit.ly/2oMrI6u, http://bit.ly/2oQ5GQx",Uncategorized,4
44827,Europe,3-Mar-18,2018,,Mar,1,,1,,,1,,Presumed drowning,"Evros River, Anthia Apalou beach, Alexandroupolis, Greece-Turkey border",Hellenic Coast Guard,"40.730370782836, 26.040387704956",,https://bit.ly/2LrTbnZ,Southern Europe,5
50925,North Africa,1-Mar-18,2018,,Mar,1,,1,,1,,,Sickness and lack of access to medicines,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"23.800424000000, 21.601520000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
50928,North Africa,1-Mar-18,2018,,Mar,3,,3,,1,1,1,"Sickness and lack of access to medicines, Excessive Physical Abuse, Sexual abuse","Sahara desert, Egypt, near border with Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),"22.295935000000, 25.557740000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
50927,North Africa,1-Mar-18,2018,,Mar,2,,2,,,2,,Suffocation,"Unspecified location in the Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),"19.635357000000, 27.103538000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
51449,North Africa,1-Mar-18,2018,,Mar,2,,2,,1,1,1,Sickness and lack of access to medicines,"Kufra District, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"22.019453000000, 23.150443000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
50926,North Africa,1-Mar-18,2018,,Mar,1,,1,,,1,,Fall from vehicle,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"23.392682000000, 14.137156000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
50924,North Africa,28-Feb-18,2018,,Feb,2,,2,,,2,,"Sickness and lack of access to medicines, Suffocation, Excessive Physical Abuse","Near Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"26.910418000000, 14.509939000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
50923,North Africa,28-Feb-18,2018,,Feb,1,,1,,,1,,Suffocation,"Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"21.143170000000, 23.823002000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
50922,North Africa,28-Feb-18,2018,,Feb,1,,1,,,1,,Sickness and lack of access to medicines,"Kufra District, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"22.669779000000, 22.627121000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
44664,Mediterranean,28-Feb-18,2018,,Feb,1,,1,,,1,,Presumed drowning,"5 nautical miles northeast of Plage de Bouzedjar, Ain Témouchent, Algeria",Radio Algérienne,"35.612071497907, -1.170012647266",Western Mediterranean,http://bit.ly/2ItWSI1,Uncategorized,1
44626,Middle East,27-Feb-18,2018,,Feb,6,,6,4,1,1,4,Hypothermia,"Near Mergasur River, Iraq near border with Turkey","Kurdistan24, Daily Sabah, Rudaw","36.969142252002, 44.286495544141",,"http://bit.ly/2GPTGoE, http://bit.ly/2GSm7Ct, http://bit.ly/2HT6WKw, http://bit.ly/2ouYrwW",Western Asia,3
50921,North Africa,26-Feb-18,2018,,Feb,2,,2,,1,1,2,Sickness and lack of access to medicines,"Near Aswan, Egypt",Mixed Migration Monitoring Mechanism Initiative (4mi),"24.102273000000, 32.985841000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
44624,Mediterranean,26-Feb-18,2018,,Feb,1,,1,,,1,,Cardiac arrest,"Tarifa, Cádiz, Spain","Europa Press, Junta de Andalucía Centro de Emergencias","36.008245901966, -5.603763054492",Western Mediterranean,"http://bit.ly/2F10oYt, http://bit.ly/2GNhR6Z",Uncategorized,3
44623,Mediterranean,25-Feb-18,2018,,Feb,1,,1,,,1,,Presumed drowning,"Playa de Levante, La Línea de la Concepción, Cádiz, Spain","Europa Press, Andalucía Información, Costa Cádiz","36.150995800000, -5.337883400000",Western Mediterranean,"http://bit.ly/2HRd5XH, http://bit.ly/2CPx4Co, http://bit.ly/2t8gKwZ",Uncategorized,3
50918,North Africa,24-Feb-18,2018,,Feb,1,,1,,1,,1,Sickness and lack of access to medicines,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"21.366129000000, 23.633623000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
50919,North Africa,24-Feb-18,2018,,Feb,1,,1,,,1,,Shot or stabbed,"Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"26.950841000000, 14.457394000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
50916,North Africa,23-Feb-18,2018,,Feb,2,,2,,,2,1,"Sickness and lack of access to medicines, Starvation, Dehydration","Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"21.856401000000, 23.853251000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
50912,North Africa,21-Feb-18,2018,,Feb,3,,3,,,,,Unknown,"Unspecified location in the Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),"19.635357000000, 27.103538000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
44622,Mediterranean,21-Feb-18,2018,,Feb,2,,2,,1,1,,Presumed drowning,"25 nautical miles north of Béni-Saf, Ain Témouchent, Algeria","Le Soir d'Algerie, Algérie 360, Réflexion","35.406879065613, -1.395759438281",Western Mediterranean,"http://bit.ly/2oE1mDZ, http://bit.ly/2HX82VK, http://bit.ly/2t0KZFO",Uncategorized,3
50911,North Africa,21-Feb-18,2018,,Feb,1,,1,,1,,,Sickness and lack of access to medicines,"Near Gedaref, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),"13.966799000000, 35.440559000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
50910,North Africa,21-Feb-18,2018,,Feb,1,,1,,1,,,"Sickness and lack of access to medicines, Sexual abuse","Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"26.936150000000, 14.347580000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
50909,North Africa,21-Feb-18,2018,,Feb,1,,1,,,1,,Sickness and lack of access to medicines,Egyptian Libyan border,Mixed Migration Monitoring Mechanism Initiative (4mi),"26.268788000000, 24.688648000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
50907,North Africa,20-Feb-18,2018,,Feb,2,,2,,,2,,Vehicle Accident,"Unspecified location in the Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),"19.635357000000, 27.103538000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
50906,North Africa,19-Feb-18,2018,,Feb,2,,2,,1,1,1,"Sickness and lack of access to medicines, Excessive Physical Abuse, Sexual abuse","Unspecified location in the Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),"19.635357000000, 27.103537000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
50905,North Africa,19-Feb-18,2018,,Feb,3,,3,,2,,1,"Starvation, Dehydration, Harsh weather/lack of adequate shelter","Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"23.679744000000, 12.696986000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
44600,Mediterranean,19-Feb-18,2018,,Feb,1,,1,,,1,,Unknown,"Awlad Sukr area, 12km east of Al Khums, Libya",IOM Libya,"32.719144626209, 14.171768528906",Central Mediterranean,,Uncategorized,4
50904,North Africa,18-Feb-18,2018,,Feb,1,,1,,1,,,Starvation,"Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),"24.921313000000, 14.145715000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
44599,Mediterranean,18-Feb-18,2018,,Feb,2,,2,,,,,Presumed drowning,"8 nautical miles north of Plage Bouzedjar, Ain Témouchent, Algeria","IOM Algeria, Réflexion","35.595813364862, -1.186008961035",Western Mediterranean,http://bit.ly/2EDPLhW,Uncategorized,3
44423,Mediterranean,17-Feb-18,2018,,Feb,1,,1,,,,,Presumed drowning,"Body found 10 km off the coast of Chlef province, between Mostaganem and Benabdelmalek Ramadan, Algeria","IOM Algeria, Huffington Post","36.654403900040, 0.924694723437",Western Mediterranean,http://bit.ly/2o8LxES,Uncategorized,3
50903,North Africa,17-Feb-18,2018,,Feb,1,,1,,,1,,Shot or stabbed,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"25.477992000000, 13.882974000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
44655,Mediterranean,16-Feb-18,2018,,Feb,1,,1,,,,,Presumed drowning,"Body retrieved in Tripoli, Libya",IOM Libya,"32.906811782506, 13.184471844922",Central Mediterranean,,Uncategorized,4
44654,Mediterranean,16-Feb-18,2018,,Feb,1,,1,,,,,Presumed drowning,"Body retrieved in AzZawiyah, Libya",IOM Libya,"32.796511748693, 12.733749617969",Central Mediterranean,,Uncategorized,4
44422,Mediterranean,16-Feb-18,2018,,Feb,1,,1,,,,,Presumed drowning,"Plage de Madagh, Aïn El Kerma, west of Oran, Algeria","El Watan, Réflexion","35.646074121757, -1.075810897416",Western Mediterranean,"http://bit.ly/2FfCRUG, http://bit.ly/2o9r9n9",Uncategorized,3
44653,Mediterranean,15-Feb-18,2018,,Feb,11,,11,,,,,Presumed drowning,"Bodies retrieved in Zuwara, Libya",IOM Libya,"32.940748164060, 12.081660973047",Central Mediterranean,,Uncategorized,4
44421,Mediterranean,15-Feb-18,2018,,Feb,2,,2,,,2,,Presumed drowning,"Plage des Andalouses, Bousfer, west of Oran, Algeria","El Watan, Réflexion","35.717462497699, -0.893899331738",Western Mediterranean,"http://bit.ly/2FfCRUG, http://bit.ly/2o9r9n8",Uncategorized,3
50901,North Africa,15-Feb-18,2018,,Feb,2,,2,,,2,,"Harsh weather/lack of adequate shelter, Suffocation, Excessive Physical Abuse","Unspecified location in the Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),"19.635357000000, 27.103536000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
44420,Mediterranean,15-Feb-18,2018,,Feb,1,,1,,,1,,Presumed drowning,"Plage Bouzedjar, Ain Témouchent, Algeria","Algérie Presse Service, Le Quotidien d'Oran, Réflexion","35.579829252717, -1.163521320654",Western Mediterranean,"http://bit.ly/2BCdBrK, http://bit.ly/2sAsEzu, http://bit.ly/2Fd8FJA",Uncategorized,3
44413,North Africa,14-Feb-18,2018,,Feb,19,,19,159,1,14,4,Vehicle Accident,"Road between As Saddadah (60 km south-east of Bani Waleed) and Tarhuna, Libya","IOM Libya, DTM Libya","31.614154277024, 14.674403539062",,"http://bit.ly/2BXCvmR, http://bit.ly/2HdQAvE",Northern Africa,4
50900,North Africa,14-Feb-18,2018,,Feb,2,,2,,,2,,Shot or stabbed,"Between Bani Waled and Tripoli, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"31.832941000000, 13.911184000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
44419,Mediterranean,14-Feb-18,2018,,Feb,2,,2,,,2,,Presumed drowning,"Plage de Sassel (Ouled Boudjemaa) and Sbiat (Messaid), Ain Témouchent, Algeria","Radio Algérienne, Le Quotidien d'Oran, Réflexion","35.494728544351, -1.244925426954",Western Mediterranean,"http://bit.ly/2FbHnDr, http://bit.ly/2sAsEzu, http://bit.ly/2EBCjY5",Uncategorized,3
44412,Mediterranean,13-Feb-18,2018,,Feb,1,,1,,,1,,Drowning,"Sidi Mejdoub beach, west of Mostaganem, Algeria","IOM Algeria, Alg24","35.971216093787, 0.070161184473",Western Mediterranean,http://bit.ly/2HdAYbv,Uncategorized,1
44411,Middle East,13-Feb-18,2018,,Feb,4,3,7,1,3,2,2,Presumed drowning,"Evros river, Edirne, Turkey, near border with Greece",Turkey Disaster and Emergency Management Directorate via IOM Turkey,"41.661457794142, 26.494433918014",,"http://bit.ly/2EsddLe, http://reut.rs/2He37za",Western Asia,5
50897,North Africa,13-Feb-18,2018,,Feb,2,,2,,1,1,1,"Harsh weather/lack of adequate shelter, Vehicle Accident","Sahara desert, Ash Shamaliyah, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),"20.610678000000, 27.916851000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
50895,North Africa,13-Feb-18,2018,,Feb,3,,3,,1,1,,Vehicle Accident,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),"24.522137000000, 13.663347000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
